Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1178,Primary,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,27.59882,45.61742,0.613691628,0.08328145,0.588099182,0.071856581,1.216816425,0.075629987,0.629514158,0.034337476,0.462816387,0.016524874,0.905059457,0.1327653969999999,0.3311245439999999,0.017439954,0.76444148,0.0656474582103489,0.5162459613333333,0.0470693902183512
S1179,Primary,C=CC(=O)Nc1cccc(Sc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1,22.15138,46.01815,0.254070848,0.045669083,0.041749373,0.037419699,0.40814808,0.1429569269999999,0.098178536,0.061830021,0.204523802,0.007587921,0.8707725409999999,0.127658829,0.006809181,0.0002892129999999,0.2889142433333333,0.0867562191131879,0.0489123633333333,0.0417263666213998
S1180,Primary,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,24.86929,6.261815,1.139328122,0.3336544039999999,1.102111816,0.2767687139999999,1.067516327,0.04704069,0.8924953940000001,0.037203807,1.087846041,0.039656546,1.001778007,0.147539392,0.908213735,0.048097573,1.0982301633333331,0.1958832385758765,0.9676069816666668,0.1636036071658133
S1181,Primary,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,18.42179,3.440573,0.459332973,0.073571205,0.023633346,0.007842166,0.8004366159999999,0.0413737479999999,0.017373784,0.002715464,0.1911885739999999,0.00700557,0.887576103,0.130576983,0.01049419,0.0037714059999999,0.4836527209999999,0.048899854259307,0.0171671066666666,0.0052629781025476
S1183,Primary,CC(C)(C)OC(=O)NC1CCCCC/C=C\C2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O,29.24969,11.14763,1.009304166,0.121514946,1.131447315,0.350898445,1.006071806,0.048423383,1.041721225,0.035860639,0.99453485,0.039262738,0.991335869,0.145268604,0.931726813,0.05147171,1.0033036073333337,0.0788506366869332,1.0349651176666663,0.2058033374067182
S1185,Primary,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,31.22752,7.649558,0.5995161529999999,0.0712666659999999,1.3434883359999998,0.340434492,0.652585864,0.0273234529999999,1.068430662,0.0503896879999999,0.679702044,0.033569686,0.942373097,0.138572574,0.7565299870000001,0.039810773,0.6439346869999999,0.0481401862090891,1.0561496616666666,0.2000163840346526
S1186,Primary,C/C(=C\C(=O)Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,30.2957,10.36788,1.101753354,0.128576756,1.260481119,0.575868607,0.986295223,0.061796095,0.935355783,0.029948795,1.17765379,0.109362923,0.997214496,0.146980196,0.961415648,0.053501014,1.088567455666667,0.1037801979631896,1.0524175166666667,0.3343570653005061
S1188,Primary,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,32.66363,14.63717,1.353134751,0.199974447,0.315082341,0.389270037,1.041457891,0.0545162259999999,1.058675528,0.03484273,0.952710986,0.038157675,1.021564007,0.150643378,0.985781908,0.045098804,1.115767876,0.1216796429312705,0.7865132589999999,0.2271409838712986
S1189,Primary,CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,30.12423,2.527112,0.28984943,0.044580549,0.857290208,0.0994214559999999,0.374127895,0.018543379,0.8169462679999999,0.027872993,0.233471349,0.008457324,0.856338143,0.125477329,1.124848127,0.075393289,0.299149558,0.0283008161432376,0.933028201,0.0738143565037215
S1190,Primary,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,28.01471,18.8355,0.882942379,0.1463718269999999,1.077232003,0.150123596,1.149486184,0.080954164,1.101503134,0.039364517,1.090659261,0.045128684,1.062057257,0.180074051,1.11020112,0.044338912,1.0410292746666665,0.100024807802579,1.0963120856666668,0.0931890522753938
